08/04/2020 05:26:32 - INFO - __main__ -   SentenceVAE(
  (embedding): Embedding(9877, 300)
  (embedding_dropout): Dropout(p=0.5, inplace=False)
  (encoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (decoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (hidden2mean): Linear(in_features=600, out_features=16, bias=True)
  (hidden2logv): Linear(in_features=600, out_features=16, bias=True)
  (latent2hidden): Linear(in_features=16, out_features=600, bias=True)
  (outputs2vocab): Linear(in_features=300, out_features=9877, bias=True)
)
08/04/2020 05:26:32 - INFO - __main__ -   Number of GPU: 1
08/04/2020 05:28:23 - INFO - __main__ -   TRAIN Epoch 01/8, Mean Negative ELBO    5.2234, PPL: 185.5625
08/04/2020 05:28:25 - INFO - __main__ -   VALID Batch 0000/105, Loss    5.7626, Recon-Loss    5.7626, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:26 - INFO - __main__ -   VALID Batch 0100/105, Loss    5.6423, Recon-Loss    5.6423, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:26 - INFO - __main__ -   VALID Batch 0105/105, Loss    4.4315, Recon-Loss    4.4315, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:26 - INFO - __main__ -   VALID Epoch 01/8, Mean Negative ELBO    5.0826, PPL: 161.1857
08/04/2020 05:28:29 - INFO - __main__ -   TRAIN Batch 0000/1314, Loss    4.9961, Recon-Loss    4.9961, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:32 - INFO - __main__ -   TRAIN Batch 0100/1314, Loss    5.1655, Recon-Loss    5.1655, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:36 - INFO - __main__ -   TRAIN Batch 0200/1314, Loss    4.8813, Recon-Loss    4.8813, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:40 - INFO - __main__ -   TRAIN Batch 0300/1314, Loss    4.6728, Recon-Loss    4.6727, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:43 - INFO - __main__ -   TRAIN Batch 0400/1314, Loss    4.7890, Recon-Loss    4.7889, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:47 - INFO - __main__ -   TRAIN Batch 0500/1314, Loss    5.0835, Recon-Loss    5.0835, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:51 - INFO - __main__ -   TRAIN Batch 0600/1314, Loss    4.9146, Recon-Loss    4.9146, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:54 - INFO - __main__ -   TRAIN Batch 0700/1314, Loss    4.8725, Recon-Loss    4.8725, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:28:58 - INFO - __main__ -   TRAIN Batch 0800/1314, Loss    4.8151, Recon-Loss    4.8151, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:02 - INFO - __main__ -   TRAIN Batch 0900/1314, Loss    5.0927, Recon-Loss    5.0927, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:06 - INFO - __main__ -   TRAIN Batch 1000/1314, Loss    5.1452, Recon-Loss    5.1452, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:09 - INFO - __main__ -   TRAIN Batch 1100/1314, Loss    5.1555, Recon-Loss    5.1555, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:13 - INFO - __main__ -   TRAIN Batch 1200/1314, Loss    4.6302, Recon-Loss    4.6302, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:17 - INFO - __main__ -   TRAIN Batch 1300/1314, Loss    4.8660, Recon-Loss    4.8660, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:17 - INFO - __main__ -   TRAIN Batch 1314/1314, Loss    5.2969, Recon-Loss    5.2969, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:18 - INFO - __main__ -   TRAIN Epoch 02/8, Mean Negative ELBO    4.9765, PPL: 144.9730
08/04/2020 05:29:20 - INFO - __main__ -   VALID Batch 0000/105, Loss    5.6714, Recon-Loss    5.6714, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:21 - INFO - __main__ -   VALID Batch 0100/105, Loss    5.4925, Recon-Loss    5.4925, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:21 - INFO - __main__ -   VALID Batch 0105/105, Loss    4.3163, Recon-Loss    4.3163, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:21 - INFO - __main__ -   VALID Epoch 02/8, Mean Negative ELBO    4.9399, PPL: 139.7529
08/04/2020 05:29:23 - INFO - __main__ -   TRAIN Batch 0000/1314, Loss    4.6256, Recon-Loss    4.6256, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:27 - INFO - __main__ -   TRAIN Batch 0100/1314, Loss    4.7776, Recon-Loss    4.7776, KL-Loss    0.0000, KL-Weight  1.000
